ch1,ch2,combined
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,-1,-2
-1,-1,-2
-1,-1,-2
